날짜,시간별 예측값,시간별 실제값,시간별 MAPE 평균 (%),하루 평균 MAPE (%)
20230127,"[912987.6666666666, 857738.3333333334, 824280.0, 802678.6666666666, 793666.0, 799289.0, 813583.6666666666, 845909.0, 890360.0, 943200.0, 953128.0, 912319.3333333334, 840921.0, 782803.0, 798577.0, 802898.0, 850276.6666666666, 908811.6666666666, 976983.6666666666, 1014368.0, 1011150.6666666666, 992322.3333333334, 957590.0, 929962.6666666666]","[938073.0, 826861.0, 787650.0, 761916.0, 752714.0, 757420.0, 786051.0, 822378.0, 881074.0, 972930.0, 973414.0, 1028440.0, 1031638.0, 1000219.0, 965922.0, 957389.0, 995082.0, 1055149.0, 1076543.0, 1065674.0, 1044836.0, 1014838.0, 979988.0, 958873.0]",7.422413480479495,5.434650116864647
20230128,"[913767.3333333334, 865492.3333333334, 827636.3333333334, 801583.3333333334, 789038.6666666666, 791964.0, 809550.6666666666, 842944.3333333334, 894903.0, 966450.6666666666, 969454.3333333334, 945121.0, 885371.6666666666, 827341.0, 819643.3333333334, 829118.6666666666, 872476.3333333334, 935016.0, 1000735.6666666666, 1027295.3333333334, 1021790.0, 1000632.0, 964020.3333333334, 936179.3333333334]","[907527.0, 897799.0, 860417.0, 835135.0, 821683.0, 820899.0, 830564.0, 852315.0, 881386.0, 923898.0, 946305.0, 918928.0, 822739.0, 801008.0, 825500.0, 830119.0, 852208.0, 899945.0, 975998.0, 1011446.0, 1000102.0, 972019.0, 938214.0, 914935.0]",2.790352525342167,0.9204622438277068
20230129,"[906320.3333333334, 866236.6666666666, 827153.0, 800107.3333333334, 787209.6666666666, 788858.0, 804361.0, 833444.3333333334, 879299.6666666666, 943917.0, 950182.6666666666, 945068.6666666666, 890434.6666666666, 848781.6666666666, 849874.6666666666, 852326.0, 881805.6666666666, 930942.0, 988489.3333333334, 1016582.0, 1005913.6666666666, 978943.6666666666, 946367.3333333334, 923787.6666666666]","[900914.0, 857813.0, 824847.0, 811092.0, 797381.0, 793487.0, 804923.0, 824164.0, 844656.0, 856582.0, 829410.0, 824084.0, 769277.0, 745203.0, 740838.0, 741531.0, 757891.0, 820288.0, 897647.0, 949088.0, 952259.0, 948033.0, 932982.0, 916987.0]",6.969214384353514,6.479346802687146
20230130,"[915504.6666666666, 860824.3333333334, 824304.6666666666, 802714.3333333334, 790592.6666666666, 790602.0, 807179.3333333334, 832952.3333333334, 869038.6666666666, 917803.3333333334, 916376.3333333334, 923817.3333333334, 874551.3333333334, 848810.0, 844086.6666666666, 843013.0, 868393.6666666666, 925127.3333333334, 983396.0, 1008736.0, 999065.6666666666, 978296.6666666666, 950394.6666666666, 930265.0]","[946228.0, 844688.0, 806464.0, 784611.0, 779789.0, 787208.0, 806134.0, 840038.0, 891180.0, 895954.0, 811951.0, 766822.0, 714471.0, 656853.0, 663267.0, 672932.0, 701262.0, 763000.0, 885209.0, 993897.0, 1016714.0, 1003659.0, 976912.0, 958943.0]",9.271851012085515,6.698956029355896
20230131,"[918223.0, 866766.6666666666, 830576.0, 810279.3333333334, 799617.6666666666, 800531.3333333334, 813873.6666666666, 838839.0, 872407.3333333334, 892144.6666666666, 862555.3333333334, 836611.3333333334, 768829.0, 734354.6666666666, 743201.6666666666, 748194.0, 770453.6666666666, 827744.3333333334, 919618.0, 984810.3333333334, 989691.6666666666, 974570.3333333334, 949369.3333333334, 930288.3333333334]","[846898.0, 898886.0, 867229.0, 842360.0, 830092.0, 835230.0, 853756.0, 889649.0, 934579.0, 910667.0, 789068.0, 736181.0, 693709.0, 643039.0, 644453.0, 650212.0, 685267.0, 742295.0, 829354.0, 915261.0, 922683.0, 899354.0, 874676.0, 861799.0]",8.326625460412641,4.525526248972795
20230201,"[898013.3333333334, 867129.0, 832846.6666666666, 812687.6666666666, 802420.6666666666, 805308.3333333334, 821604.3333333334, 851283.6666666666, 890138.3333333334, 887734.3333333334, 810143.0, 775695.6666666666, 725819.0, 681698.3333333334, 682852.6666666666, 688225.0, 714806.6666666666, 775194.3333333334, 870736.6666666666, 952748.6666666666, 963885.3333333334, 950348.6666666666, 928190.0, 912576.3333333334]","[869587.0, 789074.0, 744164.0, 708870.0, 692751.0, 701660.0, 727157.0, 773881.0, 836330.0, 836137.0, 743452.0, 700306.0, 654106.0, 618356.0, 642539.0, 664137.0, 710548.0, 740808.0, 837174.0, 920989.0, 938766.0, 926142.0, 909377.0, 889061.0]",7.477809432993284,7.1423316134216
20230202,"[887571.0, 844216.0, 805952.3333333334, 778613.6666666666, 767544.0, 774699.3333333334, 795682.3333333334, 834522.6666666666, 887363.0, 880919.3333333334, 781490.3333333334, 734436.3333333334, 687428.6666666666, 639416.0, 650086.3333333334, 662427.0, 699025.6666666666, 748701.0, 850579.0, 943382.3333333334, 959387.6666666666, 943051.6666666666, 920321.6666666666, 903267.6666666666]","[871723.0, 823464.0, 788948.0, 770767.0, 771939.0, 781832.0, 804646.0, 846208.0, 898484.0, 882144.0, 767310.0, 715416.0, 683634.0, 646412.0, 646442.0, 663954.0, 711518.0, 806165.0, 887486.0, 965503.0, 983741.0, 961903.0, 938103.0, 907523.0]",1.7473163268915595,0.7435494473442485
20230203,"[862736.0, 837141.3333333334, 800113.6666666666, 773999.0, 764927.3333333334, 772907.3333333334, 795186.3333333334, 836579.3333333334, 889797.6666666666, 876316.0, 766610.0, 717301.0, 677149.6666666666, 635935.6666666666, 644478.0, 659434.3333333334, 702444.3333333334, 763089.3333333334, 851338.0, 933917.6666666666, 948396.6666666666, 929133.0, 907385.3333333334, 886127.6666666666]","[893591.0, 827194.0, 778778.0, 749252.0, 732660.0, 734805.0, 755689.0, 790106.0, 839538.0, 926655.0, 867970.0, 792985.0, 734764.0, 699411.0, 717833.0, 738740.0, 763046.0, 796248.0, 894147.0, 981975.0, 983004.0, 963127.0, 933997.0, 906516.0]",5.660185689310309,2.8764036039199
20230204,"[878300.3333333334, 813244.0, 770630.0, 742963.0, 732450.0, 739432.3333333334, 762497.3333333334, 803398.3333333334, 858117.3333333334, 881645.3333333334, 792910.6666666666, 736235.6666666666, 690834.6666666666, 654726.3333333334, 668938.0, 688943.6666666666, 728370.6666666666, 781073.6666666666, 872935.6666666666, 956155.6666666666, 968503.6666666666, 950390.6666666666, 927159.0, 901033.3333333334]","[902520.0, 852558.0, 812522.0, 788990.0, 780936.0, 782431.0, 801010.0, 829300.0, 861496.0, 816388.0, 695261.0, 644845.0, 609096.0, 579055.0, 577288.0, 592389.0, 625836.0, 714000.0, 833196.0, 938449.0, 954413.0, 940579.0, 921269.0, 910448.0]",7.07553739777259,2.859765876024158
20230205,"[889278.0, 834405.3333333334, 793416.0, 769669.6666666666, 761845.0, 766356.0, 787115.0, 821871.3333333334, 866506.0, 875062.3333333334, 776847.0, 717748.6666666666, 675831.3333333334, 641626.0, 647187.6666666666, 665027.6666666666, 700133.3333333334, 772137.6666666666, 871609.6666666666, 961975.6666666666, 973719.3333333334, 955203.0, 931123.0, 908162.3333333334]","[874569.0, 860900.0, 825531.0, 801582.0, 789497.0, 789943.0, 803318.0, 825867.0, 840438.0, 793482.0, 685761.0, 601541.0, 566578.0, 543172.0, 535750.0, 542394.0, 571289.0, 637142.0, 755831.0, 898978.0, 933290.0, 930964.0, 915265.0, 895862.0]",9.35543892000928,6.284189687393517
20230206,"[890226.6666666666, 846884.0, 805610.3333333334, 779941.3333333334, 767697.6666666666, 769059.6666666666, 786672.3333333334, 815091.0, 847157.3333333334, 845508.3333333334, 749664.0, 679790.3333333334, 636812.6666666666, 607212.6666666666, 610290.3333333334, 624507.6666666666, 653390.3333333334, 715796.6666666666, 827724.6666666666, 939800.6666666666, 956902.3333333334, 944890.0, 923510.3333333334, 904275.3333333334]","[824713.0, 822707.0, 782416.0, 756475.0, 742427.0, 740556.0, 749782.0, 782019.0, 832295.0, 885508.0, 886443.0, 848366.0, 859511.0, 867403.0, 880370.0, 872761.0, 848901.0, 918378.0, 932526.0, 934870.0, 921188.0, 901502.0, 868471.0, 847177.0]",11.19192287292025,6.787631281168281
20230207,"[867267.3333333334, 845388.3333333334, 806823.0, 782349.0, 770953.3333333334, 770976.6666666666, 784703.3333333334, 812395.3333333334, 844743.0, 831792.6666666666, 755821.6666666666, 698250.6666666666, 678395.0, 663210.0, 664469.3333333334, 669181.3333333334, 682008.6666666666, 756506.6666666666, 840517.6666666666, 924099.0, 936297.0, 924348.3333333334, 901668.3333333334, 884495.6666666666]","[865553.0, 782784.0, 746582.0, 709761.0, 699510.0, 692562.0, 710164.0, 744083.0, 795149.0, 824249.0, 832717.0, 801010.0, 704132.0, 613568.0, 619263.0, 657945.0, 658207.0, 705168.0, 779037.0, 882389.0, 912323.0, 904305.0, 891139.0, 876121.0]",6.173758108433972,3.7426704442844163
20230208,"[854945.0, 822130.3333333334, 784843.0, 755939.3333333334, 743811.3333333334, 741020.3333333334, 754421.3333333334, 783989.6666666666, 822627.3333333334, 834413.0, 801640.3333333334, 750305.6666666666, 710073.6666666666, 674714.3333333334, 678461.0, 691033.3333333334, 692799.0, 753562.6666666666, 822464.6666666666, 905412.3333333334, 922267.0, 912257.0, 891625.0, 873053.3333333334]","[834333.0, 821477.0, 782454.0, 762146.0, 753735.0, 752516.0, 766554.0, 804973.0, 852238.0, 808297.0, 719047.0, 678467.0, 626702.0, 585669.0, 594062.0, 608759.0, 648576.0, 702543.0, 800904.0, 904010.0, 910815.0, 891809.0, 866414.0, 856475.0]",5.04319322504172,3.5173505663974343
