¿œΩ√,Power Demand,Predicted,MAPE
2023-07-23 23:00:00,813887.0,752567.0512820513,7.534209136888628
2023-07-18 22:00:00,884621.0,818172.9770114942,7.511467960686642
2023-07-20 16:00:00,883203.0,818172.9770114942,7.362975781163082
2023-07-22 23:00:00,810410.0,752567.0512820513,7.137491975413525
2023-07-20 17:00:00,881056.0,818172.9770114942,7.137233386811483
2023-07-05 19:00:00,880835.0,818172.9770114942,7.113934276965127
2023-07-19 00:00:00,763933.0,818172.9770114942,7.100096083229055
2023-07-24 10:00:00,880362.0,818172.9770114942,7.064028546041944
2023-07-25 22:00:00,879867.0,818172.9770114942,7.011744160027115
2023-07-30 00:00:00,809157.0,752567.0512820513,6.993692042205499
2023-07-06 12:00:00,768422.0,818172.9770114942,6.474434231645401
2023-07-21 09:00:00,768970.0,818172.9770114942,6.398556122019613
