날짜,발전수요량,기온(°C)
2023-04-26,663706.375,13.029166666666667
2023-04-27,666898.625,12.637500000000001
2023-04-28,658408.0416666666,17.479166666666668
2023-04-29,659254.75,16.633333333333333
2023-04-30,605887.5,15.345833333333333
2023-05-01,610131.4583333334,17.4375
2023-05-02,632890.625,18.083333333333332
2023-05-03,680849.875,17.345833333333335
2023-05-04,703364.7916666666,18.208333333333332
2023-05-05,655481.125,23.508333333333336
2023-05-06,609338.125,18.883333333333333
2023-05-07,656904.4166666666,14.216666666666667
2023-05-08,630877.6666666666,14.729166666666666
2023-05-09,626201.4166666666,16.4375
2023-05-10,617243.8333333334,18.55
2023-05-11,621417.5833333334,18.3125
2023-05-12,646372.1666666666,17.650000000000002
2023-05-13,629690.2916666666,15.6875
2023-05-14,591809.0,17.016666666666666
2023-05-15,635537.2916666666,18.6125
2023-05-16,617857.7916666666,20.625
2023-05-17,631495.9166666666,20.3
2023-05-18,655555.6666666666,18.920833333333334
2023-05-19,630309.0,18.970833333333335
2023-05-20,595247.4166666666,19.454166666666666
2023-05-21,579570.7083333334,17.808333333333334
2023-05-22,638624.4583333334,17.283333333333335
2023-05-23,613056.4166666666,18.558333333333334
2023-05-24,637611.875,18.195833333333333
2023-05-25,608667.125,21.104166666666668
2023-05-26,629557.4166666666,21.829166666666666
2023-05-27,617650.5,23.375
2023-05-28,620782.2083333334,24.054166666666664
2023-05-29,645315.5,24.441666666666666
2023-05-30,679115.8333333334,21.041666666666668
2023-05-31,642201.7916666666,20.566666666666666
2023-06-01,676818.7916666666,20.787499999999998
2023-06-02,648665.5,21.620833333333334
2023-06-03,596342.875,21.150000000000002
2023-06-04,593435.625,23.09583333333333
2023-06-05,644900.1666666666,20.491666666666667
2023-06-06,617923.25,18.462500000000002
2023-06-07,620745.9166666666,19.741666666666667
2023-06-08,649952.875,21.079166666666666
2023-06-09,642151.2916666666,22.108333333333334
2023-06-10,622410.9583333334,23.429166666666664
2023-06-11,621224.25,22.02916666666667
2023-06-12,669510.125,22.2375
2023-06-13,663615.0,21.645833333333332
2023-06-14,656782.875,22.63913043478261
2023-06-15,654674.2083333334,22.270833333333332
2023-06-16,656207.2083333334,22.1875
2023-06-17,634011.5416666666,22.912499999999998
2023-06-18,633810.25,23.4875
2023-06-19,667220.625,24.150000000000002
2023-06-20,709670.0416666666,24.879166666666666
2023-06-21,691824.0416666666,22.391666666666666
2023-06-22,662482.7916666666,23.3125
2023-06-23,666473.375,23.308333333333334
2023-06-24,655090.5833333334,25.166666666666668
2023-06-25,657966.9166666666,23.15833333333333
2023-06-26,736486.0416666666,27.895833333333332
2023-06-27,757704.8333333334,27.37391304347826
2023-06-28,767308.7916666666,28.77916666666667
2023-06-29,782916.8333333334,28.291666666666668
2023-06-30,773439.5,25.8125
2023-07-01,719600.9583333334,25.395833333333332
2023-07-02,714917.5,25.795833333333334
2023-07-03,776094.8333333334,25.291666666666668
2023-07-04,781041.5,27.075
2023-07-05,760508.0416666666,26.883333333333336
2023-07-06,739411.7083333334,24.808333333333334
2023-07-07,796837.625,27.1375
2023-07-08,763517.9166666666,26.420833333333334
2023-07-09,754016.75,29.008333333333336
2023-07-10,807890.4583333334,29.625
2023-07-11,822948.0416666666,29.8
2023-07-12,842784.8333333334,30.358333333333334
2023-07-13,843813.3333333334,29.4375
2023-07-14,838544.0,30.454166666666666
2023-07-15,816860.125,30.991666666666664
2023-07-16,792242.5833333334,28.479166666666668
2023-07-17,835003.875,27.579166666666666
2023-07-18,826604.0833333334,27.375
2023-07-19,784789.0833333334,25.566666666666666
2023-07-20,792703.625,26.0125
2023-07-21,789052.4583333334,27.59166666666667
2023-07-22,766545.0833333334,26.7
2023-07-23,771712.1666666666,29.316666666666666
2023-07-24,805449.6666666666,27.766666666666666
2023-07-25,798097.3333333334,27.40833333333333
2023-07-26,835646.625,29.349999999999998
2023-07-27,857647.375,29.974999999999998
2023-07-28,854486.2916666666,29.037499999999998
2023-07-29,817627.25,30.608333333333334
2023-07-30,799650.6666666666,29.925
2023-07-31,858665.625,29.629166666666666
2023-08-01,879906.7916666666,29.03333333333333
2023-08-02,897284.4166666666,29.829166666666666
2023-08-03,915808.2916666666,30.962500000000002
2023-08-04,920052.25,30.787499999999998
2023-08-05,877710.3333333334,30.129166666666666
2023-08-06,858607.4583333334,29.96666666666667
2023-08-07,917500.4166666666,30.458333333333332
2023-08-08,906821.5,29.675
2023-08-09,860968.9583333334,27.650000000000002
2023-08-10,801087.2083333334,27.729166666666668
2023-08-11,833930.6666666666,29.6375
2023-08-12,815869.5,29.758333333333336
2023-08-13,799842.2916666666,29.22083333333333
2023-08-14,846245.375,28.8625
2023-08-15,814941.625,29.316666666666666
2023-08-16,860816.6666666666,29.520833333333332
2023-08-17,859140.0416666666,28.291666666666668
2023-08-18,854002.0,28.241666666666664
2023-08-19,832856.4166666666,29.075
2023-08-20,812084.25,29.53333333333333
2023-08-21,884430.3333333334,30.037499999999998
2023-08-22,877926.2916666666,29.5125
2023-08-23,852549.125,26.941666666666666
2023-08-24,822023.9583333334,26.991666666666664
2023-08-25,798656.2083333334,27.925
2023-08-26,747965.7916666666,27.066666666666666
2023-08-27,758929.0833333334,28.15833333333333
2023-08-28,848605.3333333334,29.46666666666667
2023-08-29,851108.75,28.233333333333334
2023-08-30,802690.4583333334,24.079166666666666
2023-08-31,755658.375,24.5
2023-09-01,780991.7083333334,24.900000000000002
2023-09-02,756979.6666666666,27.045833333333334
2023-09-03,762991.6666666666,28.1875
2023-09-04,813651.1666666666,26.641666666666666
2023-09-05,796772.25,26.8125
2023-09-06,792972.25,26.770833333333332
2023-09-07,769203.8333333334,25.72083333333333
2023-09-08,746208.625,25.2
